,Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Unweighted Normalized Outcome Domain Score,Weighted Outcome Domain Score,Unweighted Normalized Efficiency Domain Score,Weighted Efficiency Domain Score,Total Performance Score,Location,lat,long
0,10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,Mobile,AL,36617,MOBILE,67.0,13.4,47.0,14.1,0.0,0.0,10.0000000000,2.0000000000,29.5,"2451 FILLINGIM STREET
Mobile, AL 36617
(30.708153140000434, -88.09899576899966)",30.708153140000434,-88.09899576899966
1,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,Tuscaloosa,AL,35401,TUSCALOOSA,57.2727272727,11.4545454545,44.0,13.2,42.0,12.6,0.0000000000,0.0000000000,37.2545454545,"809 UNIVERSITY BOULEVARD EAST
Tuscaloosa, AL 35401
(33.20617336400045, -87.52548321599966)",33.20617336400045,-87.52548321599966
2,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,Birmingham,AL,35211,JEFFERSON,72.72727272729999,14.5454545455,51.0,15.3,24.0,7.2,0.0000000000,0.0000000000,37.0454545455,"701 PRINCETON AVENUE SOUTHWEST
Birmingham, AL 35211
(33.49916636600045, -86.84589505599968)",33.49916636600045,-86.84589505599968
3,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,Birmingham,AL,35209,JEFFERSON,58.181818181800004,11.6363636364,47.0,14.1,40.0,12.0,10.0000000000,2.0000000000,39.7363636364,"2010 BROOKWOOD MEDICAL CENTER DRIVE
Birmingham, AL 35209
(33.46306652900046, -86.77656110699968)",33.46306652900046,-86.77656110699968
4,10146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,Jacksonville,AL,36265,CALHOUN,,,38.0,14.25,35.0,13.125,0.0000000000,0.0000000000,27.375,"1701 SOUTH PELHAM ROAD
Jacksonville, AL 36265
(33.78560261500047, -85.76124893399964)",33.78560261500047,-85.76124893399964
5,10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,Greenville,AL,36037,BUTLER,77.7777777778,22.2222222222,49.0,21.0,,,20.0000000000,5.7142857143,48.93650793649999,"29 L V STABLER DRIVE
Greenville, AL 36037
(31.82974277700049, -86.64611473899964)",31.82974277700049,-86.64611473899964
6,20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,Soldotna,AK,99669,KENAI-COOK INLET,73.3333333333,14.666666666700001,40.0,12.0,25.0,7.5,80.0000000000,16.0000000000,50.1666666667,"250 HOSPITAL PLACE
Soldotna, AK 99669
(60.49373236400049, -151.07808299499973)",60.49373236400049,-151.07808299499973
7,30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,Cottonwood,AZ,863264124,YAVAPAI,41.0,8.2,50.0,15.0,54.0,16.2,20.0000000000,4.0000000000,43.4,"269 SOUTH CANDY LANE
Cottonwood, AZ 863264124
(34.73529631000048, -112.0315518539997)",34.73529631000048,-112.0315518539997
8,30043,SIERRA VISTA REGIONAL HEALTH CENTER,300 EL CAMINO REAL,Sierra Vista,AZ,85635,COCHISE,57.7777777778,11.5555555556,22.0,6.6,32.5,9.75,10.0000000000,2.0000000000,29.9055555556,"300 EL CAMINO REAL
Sierra Vista, AZ 85635
(31.55138988800047, -110.27237383899967)",31.55138988800047,-110.27237383899967
9,30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,Kingman,AZ,86409,MOHAVE,25.4545454545,5.090909090899999,18.0,5.4,20.0,6.0,50.0000000000,10.0000000000,26.4909090909,"3269 STOCKTON HILL ROAD
Kingman, AZ 86409
(35.22005777500044, -114.03579356399968)",35.22005777500044,-114.03579356399968
